Type,Tag,Parent,Label,Synonyms,Description
Equipment,Sensor,,Sensor,Sensors,
Equipment,MotionDetector,Sensor,Motion Detector,"Motion Detectors, Motion sensor, Motion sensors",
Equipment,SmokeDetector,Sensor,Smoke Detector,Smoke Detectors,
Equipment,Siren,,Siren,Sirens,
Equipment,Smartphone,,Smartphone,"Smartphones, Phone, Phones",
Equipment,Speaker,,Speaker,Speakers,
Equipment,Valve,,Valve,Valves,
Equipment,VoiceAssistant,,Voice Assistant,Voice Assistants,
Equipment,WallSwitch,,Wall Switch,Wall Switches,
Equipment,WebService,,Web Service,Web Services,
Equipment,WeatherService,WebService,Weather Service,Weather Services,
Equipment,WhiteGood,,White Good,White Goods,
Equipment,Dishwasher,WhiteGood,Dishwasher,Dishwashers,
Equipment,Dryer,WhiteGood,Dryer,Dryers,
Equipment,Freezer,WhiteGood,Freezer,Freezers,
Equipment,Oven,WhiteGood,Oven,Ovens,
Equipment,Refrigerator,WhiteGood,Refrigerator,Refrigerators,
Equipment,WashingMachine,WhiteGood,Washing Machine,Washing Machines,
Equipment,Window,,Window,Windows,
